offer_id,offer_type,publish_hour,quantity,price,day_of_week,sell_time_minutes,expired,pickup_hour,velocity_class,date,_demand_factor,day_name
O00001,PIZZA,14,24,12.02,5,65.35630633456803,1,,medium,2024-01-01,0.5,Monday
O00002,BRUNCH,8,14,5.88,4,69.34632472837937,1,,medium,2024-01-02,0.5,Tuesday
O00003,FAST_FOOD,11,15,3.86,5,44.341662012662546,1,,medium,2024-01-03,0.5,Wednesday
O00004,SOUP,13,9,10.62,0,85.25070859117528,1,,medium,2024-01-04,0.5,Thursday
O00005,PASTA,18,8,3.26,4,47.27400596050931,1,,medium,2024-01-05,0.5,Friday
O00006,BBQ,20,16,11.7,4,16.15819588774079,0,22.0,medium,2024-01-06,0.5,Saturday
O00007,CAFE,6,24,6.74,5,87.78853469362664,1,,medium,2024-01-07,0.5,Sunday
O00008,TACO,17,19,4.88,5,61.690136358532044,1,,medium,2024-01-08,0.5,Monday
O00009,SOUP,11,13,14.68,2,38.24587362153554,1,,medium,2024-01-09,0.5,Tuesday
O00010,SEAFOOD,14,21,7.02,0,94.14686657372113,1,,medium,2024-01-10,0.5,Wednesday
O00011,PASTA,10,17,3.22,4,61.24297181580698,0,,medium,2024-01-11,0.5,Thursday
O00012,BBQ,18,8,14.46,4,99.26102291351685,1,,medium,2024-01-12,0.5,Friday
O00013,BURGER,13,52,7.67,6,27.443279835555533,1,,medium,2024-01-13,0.5,Saturday
O00014,PASTA,19,16,4.34,4,47.95594259281273,1,,medium,2024-01-14,0.5,Sunday
O00015,PASTA,16,12,5.99,6,100.68745010323681,1,,medium,2024-01-15,0.5,Monday
O00016,PASTA,14,9,12.87,6,31.814072820825228,1,,medium,2024-01-16,0.5,Tuesday
O00017,PIZZA,17,7,10.76,5,66.87587450113698,1,,medium,2024-01-17,0.5,Wednesday
O00018,SALAD,10,18,4.19,1,115.41626144704306,1,,medium,2024-01-18,0.5,Thursday
O00019,BBQ,16,14,6.33,0,76.95816766293709,0,,medium,2024-01-19,0.5,Friday
O00020,GRILL,19,14,14.5,0,105.28192450290105,1,,medium,2024-01-20,0.5,Saturday
O00021,TACO,13,14,10.01,5,76.5088908008999,1,,medium,2024-01-21,0.5,Sunday
O00022,DESSERT,19,19,11.89,1,61.57828593737338,1,,medium,2024-01-22,0.5,Monday
O00023,BREAKFAST,8,41,4.47,1,88.35127754815562,1,,medium,2024-01-23,0.5,Tuesday
O00024,PIZZA,18,15,5.09,5,4.5727807685480375,0,18.0,fast,2024-01-24,0.5,Wednesday
O00025,BBQ,20,23,14.23,6,77.9570819917929,1,,medium,2024-01-25,0.5,Thursday
O00026,SEAFOOD,17,11,10.5,6,31.43178387596312,1,,medium,2024-01-26,0.5,Friday
O00027,BBQ,17,9,14.49,2,102.22408337890731,1,,medium,2024-01-27,0.5,Saturday
O00028,BRUNCH,6,16,5.55,4,83.78686836918067,0,11.0,medium,2024-01-28,0.5,Sunday
O00029,SUSHI,18,11,12.61,1,97.40578713851595,1,,medium,2024-01-29,0.5,Monday
O00030,BREAKFAST,8,22,11.63,4,159.45691090087485,1,,slow,2024-01-30,0.5,Tuesday
O00031,BRUNCH,9,17,13.27,1,96.71265470200176,1,,medium,2024-01-31,0.5,Wednesday
O00032,SANDWICH,13,7,15.62,0,132.79360516751717,1,,slow,2024-02-01,0.5,Thursday
