iter	Passed	Remaining
0	276	82549
1	434	64699
2	470	46610
3	520	38502
4	560	33078
5	602	29505
6	644	26975
7	700	25576
8	738	23894
9	777	22554
10	819	21520
11	862	20694
12	904	19978
13	945	19305
14	982	18667
15	1019	18102
16	1059	17641
17	1098	17203
18	1135	16787
19	1179	16513
20	1291	17165
21	1335	16874
22	1378	16605
23	1416	16288
24	1461	16071
25	1502	15833
26	1536	15538
27	1574	15297
28	1621	15156
29	1665	14993
30	1732	15037
31	1780	14910
32	1818	14713
33	1859	14544
34	1898	14370
35	1947	14283
36	1985	14111
37	2020	13928
38	2061	13793
39	2096	13629
40	2136	13493
41	2173	13351
42	2216	13248
43	2263	13170
44	2304	13058
45	2346	12956
46	2385	12838
47	2428	12749
48	2478	12695
49	2523	12618
50	2565	12527
51	2607	12434
52	2647	12339
53	2691	12263
54	2732	12173
55	2773	12083
56	2816	12009
57	2860	11936
58	2907	11876
59	2939	11759
60	2991	11719
61	3041	11674
62	3090	11626
63	3136	11564
64	3199	11566
65	3241	11493
66	3291	11445
67	3336	11384
68	3386	11336
69	3427	11260
70	3469	11191
71	3521	11151
72	3571	11107
73	3626	11076
74	3673	11020
75	3730	10994
76	3773	10928
77	3819	10871
78	3877	10846
79	3921	10784
80	3966	10724
81	4012	10667
82	4054	10601
83	4093	10526
84	4130	10447
85	4159	10351
86	4183	10242
87	4213	10150
88	4245	10064
89	4277	9980
90	4311	9901
91	4342	9818
92	4375	9740
93	4406	9657
94	4439	9579
95	4472	9504
96	4507	9433
97	4544	9366
98	4580	9300
99	4617	9235
100	4653	9168
101	4688	9101
102	4724	9036
103	4772	8993
104	4797	8909
105	4834	8848
106	4873	8789
107	4910	8729
108	4947	8669
109	4985	8611
110	5021	8549
111	5075	8520
112	5109	8455
113	5145	8395
114	5183	8338
115	5218	8277
116	5255	8220
117	5286	8154
118	5312	8080
119	5338	8007
120	5362	7932
121	5404	7885
122	5442	7831
123	5469	7763
124	5506	7709
125	5543	7654
126	5573	7592
127	5606	7533
128	5635	7470
129	5669	7413
130	5701	7354
131	5734	7298
132	5771	7247
133	5805	7191
134	5836	7134
135	5867	7075
136	5898	7017
137	5926	6957
138	5956	6898
139	5985	6840
140	6024	6793
141	6060	6743
142	6090	6686
143	6119	6629
144	6171	6596
145	6197	6537
146	6215	6468
147	6242	6411
148	6277	6361
149	6309	6309
150	6334	6250
151	6375	6207
152	6435	6182
153	6476	6140
154	6498	6079
155	6532	6029
156	6560	5975
157	6586	5919
158	6612	5863
159	6634	5804
160	6661	5751
161	6688	5697
162	6716	5645
163	6749	5596
164	6777	5545
165	6805	5493
166	6830	5439
167	6853	5384
168	6879	5332
169	6906	5281
170	6932	5229
171	6957	5177
172	6987	5129
173	7013	5079
174	7044	5031
175	7069	4980
176	7098	4932
177	7130	4887
178	7163	4842
179	7190	4793
180	7224	4749
181	7258	4706
182	7288	4660
183	7324	4617
184	7360	4575
185	7399	4534
186	7435	4493
187	7473	4452
188	7513	4412
189	7551	4371
190	7592	4333
191	7632	4293
192	7669	4251
193	7705	4210
194	7740	4168
195	7775	4125
196	7809	4083
197	7848	4043
198	7887	4003
199	7930	3965
200	7967	3924
201	8012	3887
202	8050	3846
203	8096	3809
204	8132	3768
205	8167	3727
206	8234	3699
207	8270	3658
208	8304	3615
209	8340	3574
210	8385	3536
211	8415	3493
212	8443	3448
213	8474	3405
214	8507	3363
215	8541	3321
216	8571	3278
217	8596	3233
218	8643	3196
219	8674	3154
220	8702	3110
221	8742	3071
222	8777	3030
223	8815	2991
224	8867	2955
225	8913	2918
226	8958	2881
227	9003	2843
228	9042	2803
229	9084	2764
230	9125	2725
231	9188	2693
232	9223	2652
233	9266	2613
234	9309	2575
235	9352	2536
236	9384	2494
237	9422	2454
238	9470	2417
239	9507	2376
240	9567	2342
241	9626	2307
242	9675	2269
243	9729	2232
244	9779	2195
245	9829	2157
246	9903	2125
247	9987	2094
248	10042	2056
249	10100	2020
250	10170	1985
251	10235	1949
252	10286	1910
253	10338	1872
254	10393	1834
255	10446	1795
256	10503	1757
257	10549	1717
258	10591	1676
259	10641	1637
260	10688	1597
261	10734	1556
262	10778	1516
263	10824	1476
264	10871	1435
265	10918	1395
266	10963	1354
267	11024	1316
268	11092	1278
269	11143	1238
270	11187	1197
271	11230	1156
272	11272	1114
273	11312	1073
274	11400	1036
275	11457	996
276	11522	956
277	11579	916
278	11624	874
